Year-Month,Number of high tariff A hotel rooms,Number of high tariff B hotel rooms,Number of medium tariff hotel rooms,Number of unclassified hotel rooms
201912,19 644,32 075,26 559,5 811
202001,19 644,32 075,26 469,5 811
202002,19 644,32 075,26 469,5 811
202003,19 773,32 075,26 469,5 688
202004,19 773,32 836,26 462,5 736
202005,19 773,32 866,26 462,5 834
202006,19 773,32 866,26 516,5 780
202007,19 773,32 866,26 516,5 780
202008,19 773,32 897,26 516,6 034
202009,19 773,32 922,26 442,6 101
202010,19 766,32 922,26 490,6 042
202011,19 766,32 922,26 490,7 522
202012,19 766,33 634,26 490,6 810
202101,19 766,33 634,26 490,6 997
202102,19 794,33 634,26 490,6 997
202103,19 794,33 634,26 490,6 997
202104,19 794,33 634,26 490,6 997
202105,19 794,33 821,26 490,6 810
202106,19 794,33 821,26 490,6 937
202107,19 794,33 821,26 572,7 115
202108,19 794,34 097,26 572,6 855
202109,19 794,33 708,26 572,6 893
202110,19 794,33 708,26 562,6 893
202111,19 797,33 708,26 562,8 428
202112,19 797,33 708,26 562,8 547
202201,19 839,33 962,26 620,8 547
202202,19 839,33 962,26 620,8 547
202203,19 839,33 962,26 620,8 547
202204,19 839,33 962,26 620,8 598
202205,19 839,34 341,27 776,7 063
202206,19 839,34 341,27 776,7 565
202207,19 839,34 341,27 776,7 565
202208,21 471,34 342,27 776,5 933
202209,21 471,34 342,27 572,5 930
202210,21 471,34 342,27 362,6 026
202211,21 475,34 342,27 362,6 026
202212,21 475,34 342,27 362,6 026
202301,21 475,34 342,27 458,5 930
202302,21 475,34 342,27 458,5 930
202303,21 475,34 391,27 458,5 930
202304,21 475,34 391,27 458,5 930
202305,21 475,34 390,27 458,5 930
202306,21 475,35 998,25 889,5 930
202307,21 475,35 998,25 887,5 930
202308,21 475,35 998,25 985,6 263
202309,21 475,35 998,25 902,6 263
202310,21 475,35 965,25 628,7 106
202311,21 475,35 939,25 630,7 106
202312,21 475,35 939,25 589,7 106
202401,21 475,35 939,25 589,7 500
202402,21 475,35 939,25 589,7 500
202403,21 475,35 939,25 587,7 500
202404,21 475,35 939,25 791,7 841
202405,21 789,33 635,19 458,16 269
202406,21 789,33 856,19 242,17 178
202407,N/A,N/A,N/A,N/A
202408,N/A,N/A,N/A,N/A
202409,N/A,N/A,N/A,N/A
202410,N/A,N/A,N/A,N/A
202411,N/A,N/A,N/A,N/A
