Year-month,Number_hotel_rooms
201912,84089
202001,83999
202002,83999
202003,84005
202004,84807
202005,84935
202006,84935
202007,84935
202008,85220
202009,85238
202010,85220
202011,86700
202012,86700
202101,86887
202102,86915
202103,86915
202104,86915
202105,86915
202106,87042
202107,87302
202108,87318
202109,86967
202110,86957
202111,88495
202112,88614
202201,88968
202202,88968
202203,88968
202204,89019
202205,89019
202206,89521
202207,89521
202208,89522
202209,89315
202210,89201
202211,89205
202212,89205
202301,89205
202302,89205
202303,89254
202304,89254
202305,89253
202306,89292
202307,89290
202308,89721
202309,89638
202310,90174
202311,90150
202312,90109
202401,90503
202402,90503
202403,90501
202404,91046
202405,91151
202406,92065
202407,92065
202408,92049
202409,91961
202410,91961
202411,92922
